job_id,file_name,status,time,new_unary,new_binary,other,total_derive_0,all_derive,percentage
897846,interleave2023_24.0_0a279c478775cdeede51ad431aebf200,SLURM_TIME_LIMIT,5100,2,357,0,100,124,0.8064516129032258
898012,interleave2023_24.0_71270454196ae092b28d0a74300a85e1,UNDEFINED/UNSAT,3070.951,15,145,25,105,121,0.8677685950413223
897897,interleave2023_24.0_26114429758a203d651f4df87c94de4c,UNDEFINED/UNSAT,30.375,784,108,34,4,9,0.4444444444444444
897815,interleave2023_24.0_004b0f451f7d96f6a572e9e76360f51a,UNDEFINED/UNSAT,2932.112,11,9,0,5,8,0.625
898190,interleave2023_24.0_f02379d63678798e38dcc52b043cc51d,SAT,143.49099999999999,6,0,0,2,3,0.6666666666666666
897852,interleave2023_24.0_0eb98926b26343d31954169dfbde2b24,UNDEFINED/UNSAT,1145.302,5,0,0,2,3,0.6666666666666666
897817,interleave2023_24.0_00a981f385cd209d41e1efa1f5f29bac,SAT,30.513,59,0,0,2,3,0.6666666666666666
897954,interleave2023_24.0_4380f8ed143d97a65f8888b2feeddb80,SLURM_TIME_LIMIT,5100,0,607,4167,117,137,0.8540145985401459
897961,interleave2023_24.0_46e119b7ff8d0781354bfe68139c99b5,SLURM_TIME_LIMIT,5100,11,53,81,4,11,0.36363636363636365
898146,interleave2023_24.0_cd58fa8eba4046fd0a86642e1fe26cb9,SLURM_TIME_LIMIT,5100,0,1,2426,154,154,1.0
898081,interleave2023_24.0_9f3ef12b5b68f92eb9265721ea73bb03,SAT,207.888,1,1,0,2,3,0.6666666666666666
897883,interleave2023_24.0_1f6cf91464c6a19022144774b162a3cc,UNDEFINED/UNSAT,823.094,2,272,20,62,90,0.6888888888888889
897863,interleave2023_24.0_177a4ad8fd76ad8240387998112c3168,SAT,1387.677,87,33,0,32,51,0.6274509803921569
898004,interleave2023_24.0_6dca14e1af1795565d1e502ddc7d376b,OUT_OF_MEMORY,5100,0,0,0,0,0,0
898150,interleave2023_24.0_cea96962ebd736646af54d950943d909,SAT,6.296,0,0,0,3,3,1.0
897979,interleave2023_24.0_558ce551d2b933b7a5f1c7d2a6044930,SLURM_TIME_LIMIT,5100,0,0,0,166,166,1.0
897862,interleave2023_24.0_17039a3ed02ea12653ec5389e56dab50,UNDEFINED/UNSAT,0.684,3,10,13,1,3,0.3333333333333333
898043,interleave2023_24.0_89120de895868a3fccd74f30f78a5448,SLURM_TIME_LIMIT,5100,6,22,11,2,8,0.25
898159,interleave2023_24.0_d46c3fc9e953d4f84e8a18e52e29e7b7,OUT_OF_MEMORY,5100,0,0,0,0,0,0
897886,interleave2023_24.0_211938776d92f11870a687abd11d55a4,ERROR: Message:  [36mFound strong backdoor?!..[0m
,5100,0,0,0,0,0,0
897929,interleave2023_24.0_35b19a3332597c1e5a3668f75ca72971,SAT,860.077,56,29,0,23,35,0.6571428571428571
898182,interleave2023_24.0_e6d247292b525447a220323901842e4c,SLURM_TIME_LIMIT,5100,0,28,1,150,158,0.9493670886075949
